Job Name,Count
['emol.comm.'],1
"['emp. c. f. f.,r']",1
['emp. cff'],1
"['emp. comm', '.,av']",1
['emp. comm.'],1
['emp. de banque'],1
['emp. de bur'],1
['emp. de consulat'],1
['emp. d’hôtel'],1
['emp. hôtel'],1
['emp. post'],1
['empailleur dechaises'],1
"['empi', 'au téléphone']",1
"['empi, au gaz']",1
"['empi, aux casernes']",1
"['empi, banq']",1
"['empi, bur']",1
"['empi, cumin.']",1
"['empi, de banque']",1
"['empi, de bur.']",1
"['empi, de commerce']",1
"['empi, de_ banque']",1
"['empi, decommerce,']",1
"['empi, hôtel']",1
"['empi, librairie']",1
"['empi, voirie']",1
"['empi,', 'de bureau']",1
['empi. abattoirs'],1
"['empi. b. c. v.,av']",1
['empi. cff.'],1
['empi. cff..'],1
['empi. off'],1
"['empi. t.-l.,']",1
['empi. usine à gaz'],1
['employé ait gaz'],1
['employé aubureau cantonal des étrangers'],1
['employé aupénitencier'],1
"['employé banq.retraité,']",1
['employé bureau'],1
['employé debanque'],1
['employé debureau'],1
"['employé debureau,']",1
['employé des forces de joux'],1
['employé librairie'],1
['employé maisonde ville'],1
['employé suisse occid'],1
['employé téléphoniste'],1
['employé àla voirie'],1
['employé île banque'],1
"['employé,', ', 17.']",1
['employéau téléphone'],1
['employéau téléphoné'],1
['employéaux casernes'],1
['employéde banque'],1
['employéde commerce'],1
['employée bureau'],1
['employée de comm'],1
['employée de commerce'],1
"['employée,']",1
['employéla chancellerie'],1
['employés. o.-s.'],1
"['employétrams,']",1
"['employétéléphone,']",1
['encadreur'],1
"['entrep., admin.autobus lausannois']",1
['entrepr.'],1
['exp.-comp-table'],1
"['exp.-comptable,']",1
['expert-compt'],1
['expertcompt.'],1
['f.cs clochetons'],1
"['f^u«rab. et', 'pierre richard']",1
['fabr. d’articles en métal'],1
"['fabric', 'chaussures']",1
['fabricant'],1
['facteur postal'],1
['facteur retr'],1
"['fahr, de bijouterie']",1
"['ferbl.-concierge,']",1
['ferblant'],1
['ferblant.. maisonhaller'],1
['fermier'],1
['ferrailleur'],1
['fille d’office'],1
"['fils', 'emp. decommerce,']",1
['fleur'],1
['fonct. fédéral'],1
['fonct. postal'],1
['fonctionnaire'],1
